"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что заказ можно создать с разными вариантами цвета и получить track.","304","Создание заказа с разными цветами","tests","2026-06-04","passed","2026-06-04","TestCreateOrder","test_create_order","",""
"Проверяет, что заказ можно создать с разными вариантами цвета и получить track.","270","Создание заказа с разными цветами","tests","2026-06-04","passed","2026-06-04","TestCreateOrder","test_create_order","",""
"Проверяет, что нельзя создать двух курьеров с одинаковыми данными.","552","Создание двух одинаковых курьеров","tests","2026-06-04","passed","2026-06-04","TestCreateCourier","test_create_courier","",""
"Проверяет, что созданный курьер может авторизоваться.","248","Логин курьера","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что запрос логина без поля password возвращает ошибку.","60254","Логин курьера без пароля","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что ручка возвращает список заказов.","12141","Получение списка заказов","tests","2026-06-04","passed","2026-06-04","TestGetOrders","test_get_orders","",""
"Проверяет, что курьера можно создать с валидными данными.","262","Создание курьера","tests","2026-06-04","passed","2026-06-04","TestCreateCourier","test_create_courier","",""
"Проверяет, что нельзя авторизоваться под несуществующим пользователем.","226","Логин несуществующего курьера","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что заказ можно создать с разными вариантами цвета и получить track.","316","Создание заказа с разными цветами","tests","2026-06-04","passed","2026-06-04","TestCreateOrder","test_create_order","",""
"Проверяет, что нельзя авторизоваться с неправильным паролем.","301","Логин курьера с неверным паролем","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что запрос логина без поля login возвращает ошибку.","258","Логин курьера без логина","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что нельзя авторизоваться с неправильным логином.","248","Логин курьера с неверным логином","tests","2026-06-04","passed","2026-06-04","TestLoginCourier","test_login_courier","",""
"Проверяет, что запрос без обязательного поля возвращает ошибку.","238","Создание курьера без обязательного поля","tests","2026-06-04","passed","2026-06-04","TestCreateCourier","test_create_courier","",""
"Проверяет, что запрос без обязательного поля возвращает ошибку.","280","Создание курьера без обязательного поля","tests","2026-06-04","passed","2026-06-04","TestCreateCourier","test_create_courier","",""
"Проверяет, что заказ можно создать с разными вариантами цвета и получить track.","262","Создание заказа с разными цветами","tests","2026-06-04","passed","2026-06-04","TestCreateOrder","test_create_order","",""
